split,w_anger,w_frust,threshold,TP,FP,FN,TN,handover_precision,handover_recall,handover_f1,frustration_recall
val,0.4,0.6,0.5,3,0,212,743,1.0,0.013953488372093023,0.027522935779816512,0.075
test,0.4,0.6,0.5,2,1,461,1865,0.6666666666666666,0.004319654427645789,0.008583690987124463,0.04
val,0.4,0.6,0.51,3,0,212,743,1.0,0.013953488372093023,0.027522935779816512,0.075
test,0.4,0.6,0.51,2,1,461,1865,0.6666666666666666,0.004319654427645789,0.008583690987124463,0.04
val,0.4,0.6,0.52,3,0,212,743,1.0,0.013953488372093023,0.027522935779816512,0.075
test,0.4,0.6,0.52,2,1,461,1865,0.6666666666666666,0.004319654427645789,0.008583690987124463,0.04
val,0.4,0.6,0.53,3,0,212,743,1.0,0.013953488372093023,0.027522935779816512,0.075
test,0.4,0.6,0.53,1,1,462,1865,0.5,0.0021598272138228943,0.004301075268817204,0.02
val,0.4,0.6,0.54,3,0,212,743,1.0,0.013953488372093023,0.027522935779816512,0.075
test,0.4,0.6,0.54,1,1,462,1865,0.5,0.0021598272138228943,0.004301075268817204,0.02
val,0.4,0.6,0.55,1,0,214,743,1.0,0.004651162790697674,0.009259259259259259,0.025
test,0.4,0.6,0.55,0,1,463,1865,0.0,0.0,0.0,0.0
val,0.4,0.6,0.56,0,0,215,743,0.0,0.0,0.0,0.0
test,0.4,0.6,0.56,0,0,463,1866,0.0,0.0,0.0,0.0
val,0.4,0.6,0.57,0,0,215,743,0.0,0.0,0.0,0.0
test,0.4,0.6,0.57,0,0,463,1866,0.0,0.0,0.0,0.0
val,0.4,0.6,0.58,0,0,215,743,0.0,0.0,0.0,0.0
test,0.4,0.6,0.58,0,0,463,1866,0.0,0.0,0.0,0.0
val,0.4,0.6,0.59,0,0,215,743,0.0,0.0,0.0,0.0
test,0.4,0.6,0.59,0,0,463,1866,0.0,0.0,0.0,0.0
val,0.4,0.6,0.6,0,0,215,743,0.0,0.0,0.0,0.0
test,0.4,0.6,0.6,0,0,463,1866,0.0,0.0,0.0,0.0
val,0.4,0.6,0.61,0,0,215,743,0.0,0.0,0.0,0.0
test,0.4,0.6,0.61,0,0,463,1866,0.0,0.0,0.0,0.0
val,0.4,0.6,0.62,0,0,215,743,0.0,0.0,0.0,0.0
test,0.4,0.6,0.62,0,0,463,1866,0.0,0.0,0.0,0.0
val,0.4,0.6,0.63,0,0,215,743,0.0,0.0,0.0,0.0
test,0.4,0.6,0.63,0,0,463,1866,0.0,0.0,0.0,0.0
val,0.4,0.6,0.64,0,0,215,743,0.0,0.0,0.0,0.0
test,0.4,0.6,0.64,0,0,463,1866,0.0,0.0,0.0,0.0
val,0.4,0.6,0.65,0,0,215,743,0.0,0.0,0.0,0.0
test,0.4,0.6,0.65,0,0,463,1866,0.0,0.0,0.0,0.0
val,0.4,0.6,0.66,0,0,215,743,0.0,0.0,0.0,0.0
test,0.4,0.6,0.66,0,0,463,1866,0.0,0.0,0.0,0.0
val,0.4,0.6,0.67,0,0,215,743,0.0,0.0,0.0,0.0
test,0.4,0.6,0.67,0,0,463,1866,0.0,0.0,0.0,0.0
val,0.4,0.6,0.68,0,0,215,743,0.0,0.0,0.0,0.0
test,0.4,0.6,0.68,0,0,463,1866,0.0,0.0,0.0,0.0
