split,w_anger,w_frust,threshold,TP,FP,FN,TN,handover_precision,handover_recall,handover_f1,frustration_recall
test,0.65,0.35,0.24,273,263,190,1603,0.5093283582089553,0.5896328293736501,0.5465465465465466,0.4
val,0.65,0.35,0.26,113,73,102,670,0.6075268817204301,0.5255813953488372,0.5635910224438903,0.525
test,0.65,0.35,0.26,266,244,197,1622,0.5215686274509804,0.5745140388768899,0.5467625899280576,0.38
val,0.65,0.35,0.28,112,69,103,674,0.6187845303867403,0.5209302325581395,0.5656565656565656,0.525
test,0.65,0.35,0.28,257,230,206,1636,0.5277207392197125,0.5550755939524838,0.5410526315789473,0.36
val,0.65,0.35,0.3,108,68,107,675,0.6136363636363636,0.5023255813953489,0.5524296675191818,0.5
test,0.65,0.35,0.3,253,216,210,1650,0.5394456289978679,0.5464362850971922,0.5429184549356223,0.36
val,0.65,0.35,0.32,106,64,109,679,0.6235294117647059,0.4930232558139535,0.5506493506493507,0.5
test,0.65,0.35,0.32,251,197,212,1669,0.5602678571428571,0.5421166306695464,0.5510428100987924,0.36
val,0.65,0.35,0.34,100,61,115,682,0.6211180124223602,0.46511627906976744,0.5319148936170213,0.4
test,0.65,0.35,0.34,240,191,223,1675,0.5568445475638051,0.5183585313174947,0.5369127516778524,0.32
val,0.65,0.35,0.36,92,59,123,684,0.609271523178808,0.42790697674418604,0.5027322404371585,0.275
test,0.65,0.35,0.36,225,165,238,1701,0.5769230769230769,0.48596112311015116,0.5275498241500585,0.2
val,0.65,0.35,0.38,91,56,124,687,0.6190476190476191,0.4232558139534884,0.5027624309392266,0.275
test,0.65,0.35,0.38,220,147,243,1719,0.5994550408719346,0.47516198704103674,0.5301204819277108,0.2
val,0.65,0.35,0.4,89,53,126,690,0.6267605633802817,0.413953488372093,0.49859943977591037,0.275
test,0.65,0.35,0.4,210,133,253,1733,0.6122448979591837,0.4535637149028078,0.5210918114143921,0.18
val,0.7,0.3,0.1,149,135,66,608,0.5246478873239436,0.6930232558139535,0.597194388777555,0.65
test,0.7,0.3,0.1,329,444,134,1422,0.425614489003881,0.7105831533477321,0.5323624595469256,0.54
val,0.7,0.3,0.12,143,126,72,617,0.5315985130111525,0.6651162790697674,0.5909090909090908,0.65
test,0.7,0.3,0.12,319,402,144,1464,0.44244105409153955,0.6889848812095032,0.5388513513513513,0.5
val,0.7,0.3,0.14,137,108,78,635,0.5591836734693878,0.6372093023255814,0.5956521739130435,0.625
test,0.7,0.3,0.14,313,373,150,1493,0.45626822157434405,0.6760259179265659,0.5448215839860748,0.5
val,0.7,0.3,0.16,131,98,84,645,0.5720524017467249,0.6093023255813953,0.5900900900900901,0.6
test,0.7,0.3,0.16,306,350,157,1516,0.46646341463414637,0.6609071274298056,0.546916890080429,0.5
val,0.7,0.3,0.18,127,90,88,653,0.5852534562211982,0.5906976744186047,0.5879629629629629,0.6
test,0.7,0.3,0.18,299,326,164,1540,0.4784,0.6457883369330454,0.5496323529411764,0.48
val,0.7,0.3,0.2,125,86,90,657,0.5924170616113744,0.5813953488372093,0.5868544600938966,0.6
test,0.7,0.3,0.2,292,301,171,1565,0.4924114671163575,0.6306695464362851,0.5530303030303032,0.46
val,0.7,0.3,0.22,122,84,93,659,0.5922330097087378,0.5674418604651162,0.5795724465558194,0.575
